id,n1,n2,n3,n4,n5,n6,sp
101103,12,18,25,32,41,47,7
101104,5,14,18,28,37,42,19
102001,03,4,22,32,33,49,21
102002,1,7,24,31,35,47,21
102003,5,6,14,19,27,33,31
102004,1,10,24,33,44,48,37
102005,2,8,32,34,44,46,14
102006,22,27,30,33,37,46,24
102007,2,14,23,25,31,47,48
102008,2,4,11,18,48,49,38
102009,3,7,31,32,34,43,41
102010,1,26,28,37,39,46,3
102011,8,15,19,25,30,38,6
102012,4,11,22,26,38,47,13
102013,5,11,17,22,30,34,10
102014,9,10,12,21,31,35,19
102015,6,16,40,45,46,48,31
102016,3,13,19,24,27,38,40
102017,2,8,17,30,34,40,26
102018,7,23,24,28,32,40,8
102019,7,9,17,25,28,35,36
102020,8,15,21,30,36,39,17
102021,1,26,34,35,36,37,7
102022,5,24,30,35,36,38,11
102023,12,13,16,29,44,45,30
102024,16,20,35,46,47,49,31
102025,5,13,23,37,43,44,26
102026,1,12,25,37,39,40,18
102027,5,7,13,23,24,30,1
102028,1,9,20,28,39,42,47
102029,2,3,8,15,24,46,36
102030,11,15,20,23,26,35,31
102031,4,7,13,17,21,35,33
102032,7,16,35,45,47,48,39
102033,1,3,18,22,29,32,21
102034,6,18,40,43,45,48,24
102035,3,36,37,40,42,48,17
102036,12,15,29,31,36,45,40
102037,15,17,19,30,40,47,25
102038,10,30,32,37,46,47,16
102039,1,4,8,22,32,45,2
102040,9,11,14,25,33,35,2
102041,2,17,25,32,39,43,34
102042,1,6,7,27,30,39,21
102043,5,10,16,22,23,24,31
102044,24,29,35,39,42,49,48
102045,10,27,28,31,37,41,34
102046,7,10,16,17,30,43,23
102047,3,6,10,33,39,44,37
102048,14,19,34,43,46,47,42
102049,3,14,29,33,39,48,22
102050,16,20,34,42,46,49,4
102051,4,16,22,32,35,47,43
102052,4,11,25,36,41,43,27
102053,10,29,35,39,41,44,7
102054,7,18,26,28,34,38,5
102055,22,26,31,42,44,49,29
102056,1,5,18,21,40,44,22
102057,11,14,28,39,40,45,42
102058,19,24,28,29,41,43,37
102059,15,24,29,34,47,48,31
102060,10,13,16,29,31,37,32
102061,3,5,9,15,30,49,48
102062,4,17,24,27,35,49,39
102063,8,17,21,34,39,45,44
102064,6,15,16,22,43,45,48
102065,7,27,43,44,45,46,35
102066,1,4,17,27,32,48,6
102067,3,4,12,13,24,30,9
102068,12,14,16,34,37,48,7
102069,4,17,24,27,29,40,9
102070,5,7,16,28,31,49,34
102071,5,11,12,14,31,35,26
102072,5,8,11,14,15,36,46
102073,2,21,24,27,36,46,5
102074,11,13,22,29,39,48,45
102075,6,7,14,33,36,48,18
102076,1,10,14,34,42,47,9
102077,12,16,26,27,28,45,6
102078,1,8,17,19,40,46,15
102079,6,12,19,28,39,47,36
102080,7,9,15,23,34,35,41
102081,1,12,18,19,38,46,2
102082,1,4,14,17,23,46,41
102083,7,12,18,25,28,48,46
102084,4,6,7,11,26,31,38
102085,2,10,32,37,46,49,28
102086,8,13,16,20,22,28,49
102087,9,11,17,39,40,43,46
102088,7,8,16,23,32,39,22
102089,3,8,10,11,35,36,39
102090,1,4,21,30,39,42,44
102091,6,16,26,31,36,46,9
102092,3,12,27,29,37,46,17
102093,1,3,28,30,33,39,34
102094,3,12,22,23,29,46,33
102095,2,4,18,31,36,43,8
102096,15,16,33,35,36,46,21
102097,8,9,11,24,40,47,33
102098,1,10,11,15,20,21,26
102099,2,8,13,19,30,31,20
102100,8,10,17,38,44,49,40
102101,4,6,8,10,15,36,13
102102,6,11,27,34,42,49,21
102103,10,16,26,28,41,48,42
102104,1,4,9,14,22,28,20
102105,8,9,14,17,25,45,27
102106,9,21,24,33,36,43,3
102107,2,12,16,31,39,43,18
102108,5,27,29,36,40,42,35
